NUTS1;NUTS2;SEX;GIVEN_NAME;NUMBER;REF_YEAR
AT3;AT33;1;Linus;11;2017
AT3;AT33;1;Manuel;11;2017
AT3;AT33;1;Matilda;11;2017
AT3;AT33;1;Niklas;11;2017
AT3;AT33;1;Nora;11;2017
AT3;AT33;1;Ben;10;2017
AT3;AT33;1;Eliah;10;2017
AT3;AT33;1;Jana;10;2017
AT3;AT33;1;Marco;10;2017
AT3;AT33;1;Olivia;10;2017
AT3;AT33;1;Rosalie;10;2017
AT3;AT33;2;Sophia;50;2017
AT3;AT33;2;Anna;47;2017
AT3;AT33;2;Maximilian;47;2017
AT3;AT33;2;Paul;44;2017
AT3;AT33;2;Emma;43;2017
AT3;AT33;2;Felix;42;2017
AT3;AT33;2;Simon;42;2017
AT3;AT33;2;David;40;2017
AT3;AT33;2;Elias;38;2017
AT3;AT33;2;Hannah;38;2017
AT3;AT33;2;Lukas;36;2017
AT3;AT33;2;Jakob;35;2017
AT3;AT33;2;Jonas;34;2017
AT3;AT33;2;Sarah;33;2017
AT3;AT33;2;Alexander;30;2017
AT3;AT33;2;Leon;30;2017
AT3;AT33;2;Luis;30;2017
AT3;AT33;2;Tobias;30;2017
AT3;AT33;2;Mia;29;2017
AT3;AT33;2;Raphael;29;2017
AT3;AT33;2;Sophie;29;2017
AT3;AT33;2;Florian;28;2017
AT3;AT33;2;Marie;28;2017
AT3;AT33;2;Samuel;28;2017
AT3;AT33;2;Valentina;28;2017
AT3;AT33;2;Laura;27;2017
AT3;AT33;2;Leonie;27;2017
AT3;AT33;2;Lea;26;2017
AT3;AT33;2;Lena;26;2017
AT3;AT33;2;Matteo;26;2017
AT3;AT33;2;Matthias;26;2017
AT3;AT33;2;Rosa;25;2017
AT3;AT33;2;Daniel;24;2017
AT3;AT33;2;Theresa;24;2017
AT3;AT33;2;Luca;23;2017
AT3;AT33;2;Philipp;23;2017
AT3;AT33;2;Emilia;22;2017
AT3;AT33;2;Leo;22;2017
AT3;AT33;2;Noah;22;2017
AT3;AT33;2;Eva;21;2017
AT3;AT33;2;Johannes;21;2017
AT3;AT33;2;Julian;21;2017
AT3;AT33;2;Sebastian;21;2017
AT3;AT33;2;Anton;20;2017
AT3;AT33;2;Fabian;20;2017
AT3;AT33;2;Niklas;20;2017
AT3;AT33;2;Andreas;19;2017
AT3;AT33;2;Johanna;19;2017
AT3;AT33;2;Lina;19;2017
AT3;AT33;2;Lorenz;19;2017
AT3;AT33;2;Moritz;19;2017
AT3;AT33;2;Greta;18;2017
AT3;AT33;2;Julia;18;2017
AT3;AT33;2;Katharina;18;2017
AT3;AT33;2;Paula;18;2017
AT3;AT33;2;Elena;17;2017
AT3;AT33;2;Fabio;17;2017
AT3;AT33;2;Amelie;16;2017
AT3;AT33;2;Josef;16;2017
AT3;AT33;2;Lara;16;2017
AT3;AT33;2;Marcel;16;2017
AT3;AT33;2;Nico;16;2017
AT3;AT33;2;Ben;15;2017
AT3;AT33;2;Manuel;15;2017
AT3;AT33;2;Maria;15;2017
AT3;AT33;2;Gabriel;14;2017
AT3;AT33;2;Jana;14;2017
AT3;AT33;2;Klara;14;2017
AT3;AT33;2;Liam;14;2017
AT3;AT33;2;Ella;13;2017
AT3;AT33;2;Luisa;13;2017
AT3;AT33;2;Magdalena;13;2017
AT3;AT33;2;Michael;13;2017
AT3;AT33;2;Olivia;13;2017
AT3;AT33;2;Antonia;12;2017
AT3;AT33;2;Elisa;12;2017
AT3;AT33;2;Leni;12;2017
AT3;AT33;2;Levi;12;2017
AT3;AT33;2;Lorena;12;2017
AT3;AT33;2;Nora;12;2017
AT3;AT33;2;Selina;12;2017
AT3;AT33;2;Valentin;12;2017
AT3;AT33;2;Benjamin;11;2017
AT3;AT33;2;Eliah;11;2017
AT3;AT33;2;Emily;11;2017
AT3;AT33;2;Franziska;11;2017
AT3;AT33;2;Lia;11;2017
AT3;AT33;2;Adrian;10;2017
AT3;AT33;2;Alina;10;2017
AT3;AT33;2;Emil;10;2017
AT3;AT33;2;Linda;10;2017
AT3;AT33;2;Max;10;2017
AT3;AT33;2;Thomas;10;2017
AT3;AT33;2;Dominik;9;2017
AT3;AT33;2;Ida;9;2017
AT3;AT33;2;Lisa;9;2017
AT3;AT33;2;Maya;9;2017
AT3;AT33;2;Nina;9;2017
AT3;AT33;2;Peter;9;2017
AT3;AT33;2;Stefan;9;2017
AT3;AT33;1;Anna;68;2016
AT3;AT33;1;Elias;60;2016
AT3;AT33;1;Maximilian;52;2016
AT3;AT33;1;Emma;48;2016
AT3;AT33;1;Hannah;43;2016
AT3;AT33;1;Paul;43;2016
AT3;AT33;1;Raphael;43;2016
AT3;AT33;1;Laura;42;2016
AT3;AT33;1;Sophia;42;2016
AT3;AT33;1;David;39;2016
AT3;AT33;1;Simon;38;2016
AT3;AT33;1;Felix;37;2016
AT3;AT33;1;Lena;37;2016
AT3;AT33;1;Mia;37;2016
AT3;AT33;1;Tobias;36;2016
AT3;AT33;1;Matteo;34;2016
AT3;AT33;1;Matthias;34;2016
AT3;AT33;1;Samuel;34;2016
AT3;AT33;1;Alexander;33;2016
AT3;AT33;1;Marie;33;2016
AT3;AT33;1;Noah;33;2016
AT3;AT33;1;Emilia;32;2016
AT3;AT33;1;Lara;32;2016
AT3;AT33;1;Lea;31;2016
AT3;AT33;1;Lukas;30;2016
AT3;AT33;1;Sarah;30;2016
AT3;AT33;1;Fabian;29;2016
AT3;AT33;1;Leon;29;2016
AT3;AT33;1;Luis;29;2016
AT3;AT33;1;Leo;28;2016
AT3;AT33;1;Valentina;28;2016
AT3;AT33;1;Jakob;27;2016
AT3;AT33;1;Sophie;26;2016
AT3;AT33;1;Florian;25;2016
AT3;AT33;1;Moritz;25;2016
AT3;AT33;1;Philipp;25;2016
